num_page,url,nom_vin,annee,nb_etoiles,prix,"coup de coeur",garde,production,elevage,temperature,cepages,address
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-bel-air-la-royere-2014-2017/201722570/,"CHÂTEAU BEL-AIR LA ROYÈRE"," 2014",0,"20 à 30 €",oui," - ",15000," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                         CHEVRIER-LORIAUD<br>
                        1, lieu-dit Les Ricards <br>
                        33390 Cars<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-monconseil-gazin-grande-reserve-2013-2017/201722568/,"CHÂTEAU MONCONSEIL GAZIN","Grande Réserve 2013",0,"11 à 15 €",oui," - ",4000," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                        VIGNOBLES MICHEL BAUDET<br>
                        15, rte de Compostelle <br>
                        33390 Plassac<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-la-raz-caman-2013-2017/201722567/,"CHÂTEAU LA RAZ CAMAN"," 2013",0,"8 à 11 €",oui," - ",40000," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                        SCEV VIGNOBLES POMMERAUD<br>
                        4, Ch. la Raz Caman <br>
                        33390 Anglade<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-le-cone-vieilles-vignes-2014-2017/201722562/,"CHÂTEAU LE CÔNE","Vieilles Vignes 2014",0,"8 à 11 €",oui," - ",13300," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                        SCEA LEPAGE-MACÉ<br>
                        rte des Cônes <br>
                        33390 Blaye<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-les-pierreres-2014-2017/201706096/,"CHÂTEAU LES PIERRÈRES"," 2014",0,"8 à 11 €",oui," - ",8660," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                        EARL BORDENAVE ET FILS<br>
                        8, chem. de la Palanque <br>
                        33390 Fours<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/l-attribut-des-tourtes-2014-2017/201722563/,"L'ATTRIBUT DES TOURTES"," 2014",0,"11 à 15 €",oui," - ",13000," En fût ","
                                                                                                                                                                                        <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a>                                                                         ","
                        EARL RAGUENOT-LALLEZ-MILLER<br>
                        30, Le Bourg <br>
                        33820 Saint-Caprais-de-Blaye<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-anglade-bellevue-cuvee-passion-2014-2017/201709471/,"CHÂTEAU ANGLADE-BELLEVUE","Cuvée Passion 2014",0,"5 à 8 €",oui," - ",6666," En cuve et en fût ","
                                                                                                                                                                                                                                                            <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Colombard</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Côt</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Muscadelle</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sémillon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/u"" class=""value"">Ugni blanc</a>                                                                         ","
                        SCEA MÈGE FRÈRES<br>
                        Les Lamberts <br>
                        33920 Générac<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-anglade-bellevue-cuvee-prestige-2014-2017/201704493/,"CHÂTEAU ANGLADE-BELLEVUE","Cuvée Prestige 2014",0,"5 à 8 €",oui," - ",20000," En cuve et en fût ","
                                                                                                                                                                                                                                                            <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Colombard</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Côt</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Muscadelle</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sémillon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/u"" class=""value"">Ugni blanc</a>                                                                         ","
                        SCEA MÈGE FRÈRES<br>
                        Les Lamberts <br>
                        33920 Générac<br>
                        France
                    "
1,http://www.hachette-vins.com/guide-vins/les-vins/ch-berthenon-cuvee-chloe-2014-2017/201722421/,"CHÂTEAU BERTHENON","Cuvée Chloé 2014",0,"11 à 15 €",oui," - ",16100," En fût ","
                                                                                                                                                                                                                                                            <strong>16</strong> à                                                                                        <strong>17</strong>                                          °C
                                                                                                                        ","
                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet franc</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Cabernet-sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Colombard</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/c"" class=""value"">Côt</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Malbec</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Merlot</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/m"" class=""value"">Muscadelle</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sauvignon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/s"" class=""value"">Sémillon</a> •                                                                                            <a href=""/tout-sur-le-vin/cepages-vins/u"" class=""value"">Ugni blanc</a>                                                                         ","
                        GFA HENRI PONZ<br>
                        Ch. Berthenon 3, Le Barrail<br>
                        33390 Saint-Paul<br>
                        France
                    "
